the,a
justified,justificado
Atlantic,atlântico
stomach,estômago
improved,melhorado
admire,admirar
openly,abertamente
sailors,marinheiros
abide,residir
advancing,avançando
forests,florestas
records,registros
Polly,Polly
recorded,gravado
modification,modificação
dramatic,dramático
statements,afirmações
upstairs,lá em cima
varied,variado
letting,de locação
Wilson,Wilson
comrades,camaradas
sets,conjuntos
descent,descida
whither,para onde
envy,inveja
load,carga
pretend,fingir
folded,guardada
brass,latão
internal,interno
furious,furioso
curtain,cortina
healthy,saudável
obscure,obscurecer
summit,cume
alas,infelizmente
fifth,quinto
center,Centro
faced,enfrentou
cheap,barato
saints,santos
colonel,coronel
Egyptian,egípcio
contest,concurso
owned,possuído
adventures,aventuras
exclusion,exclusão
seize,aproveitar
chances,chances
springs,nascentes
alter,alterar
landing,aterrissagem
fence,cerca
leagues,ligas
glimpse,vislumbre
statue,estátua
contract,contrato
luxury,luxo
artillery,artilharia
doubts,dúvidas
saving,salvando
fro,para lá
string,corda
combination,combinação
awakened,despertado
faded,desaparecido
arrest,prender prisão
protected,protegido
temperature,temperatura
strict,rigoroso
contented,contente
professional,profissional
intent,intenção
brother's,do irmão
injured,ferido
neighborhood,vizinhança
Andrew,André
abundance,abundância
smoking,fumar
yourselves,vocês mesmos
medical,médico
garrison,guarnição
likes,gosta
corps,corpo
heroic,heróico
inform,informar
wife's,da esposa
retained,retido
agitation,agitação
nobles,nobres
prominent,proeminente
institution,instituição
judged,julgado
embrace,abraçar
wheels,rodas
closing,fechamento
damaged,danificado
pack,pacote
affections,afetos
eldest,mais velho
anguish,angústia
surrounding,em torno da
obviously,obviamente
strictly,estritamente
capture,capturar
drops,gotas
inquire,investigar
ample,amplo
remainder,restante
justly,justamente
recollection,lembrança
deer,cervo
answers,respostas
bedroom,quarto
purely,puramente
bush,arbusto
plunged,afundou
thyself,a ti mesmo
joint,articulação
refer,referir
expecting,esperando
madam,Senhora
railroad,Ferrovia
spake,falou
respecting,respeitando
Jan,janeiro
columns,colunas
weep,lamentar
identify,identificar
discharge,descarga
bench,Banco
Ralph,Rafael
heir,herdeiro
oak,Carvalho
rescue,resgatar
limit,limite
unpleasant,desagradável
anxiously,ansiosamente
innocence,inocência
awoke,acordou
expectation,expectativa
incomplete,incompleto
program,programa
reserved,reservado
secretly,secretamente
we've,nós temos
invention,invenção
faults,falhas, panes
disagreeable,desagradável
piano,piano
defeated,derrotado
charms,encantos
purse,Bolsa
persuade,persuadir
deprived,privado
electric,elétrico
endless,sem fim
interval,intervalo
chase,perseguir
heroes,Heróis
invisible,invisível
well-known,bem conhecido
occupy,ocupar
Jacob,Jacó
gown,vestido
cruelty,crueldade
lock,trancar
lowest,mais baixo
hesitation,hesitação
withdrew,retirou-se
proposal,proposta
destiny,destino
recognised,reconhecido
commons,comuns
foul,falta
loaded,carregado
amidst,no meio
titles,títulos
ancestors,ancestrais
types,tipos
commanding,comandando
madness,loucura
happily,Felizmente
assigned,atribuído
declined,recusado
temptation,tentação
lady's,dama
subsequent,subseqüente
jewels,jóias
breathed,respirou
willingly,de boa vontade
youthful,jovem
bells,sinos
spectacle,espetáculo
uneasy,inquieto
shine,brilhar
formidable,formidável
stately,imponente
machinery,maquinaria
fragments,fragmentos
rushing,apressado
attractive,atraente
product,produtos
economic,econômico
sickness,doença
uses,usa
dashed,tracejadas
engine,motor
ashore,em terra
dates,datas
theirs,deles
adv,anúncio
clasped,apertado
international,internacional
leather,couro
spared,poupado
crushed,esmagado
interfere,interferir
subtle,sutil
waved,acenou
slope,declive
floating,flutuando
worry,preocupar
effected,efetuado
passengers,passageiros
violently,violentamente
donation,doação
steamer,vaporizador
witnesses,testemunhas
Word,Palavra
specified,Especificadas
learnt,aprendido
stores,lojas
designed,projetado
guessed,adivinhou
roger,Roger
timber,madeira
talents,talentos
heed,Guarda
Jackson,Jackson
murdered,assassinado
vivid,vívido
woe,ai
calculate,calcular
killing,matando
Laura,Laura
savages,selvagens
wasted,desperdiçado
trifle,bagatela
funny,engraçado
pockets,bolsos
philosopher,filósofo
insult,insulto
den,covil
representation,representação
incapable,incapaz
eloquence,eloquência
dine,jantar
temples,templos
Ann,Ana
sensitive,confidencial
robin,pisco de peito vermelho
appetite,apetite
wishing,desejando
picturesque,pitoresco
Douglas,Douglas
courtesy,cortesia
flowing,fluindo
remembrance,lembrança
lawyers,advogados
sphere,esfera
murmur,murmúrio
elegant,elegante
honourable,honroso
stopping,parando
guilt,culpa
welfare,bem-estar
avoided,evitado
fishing,pescaria
perish,perecer
sober,sóbrio
steal,roubar
delicious,delicioso
infant,infantil
lip,lábio
Norman,normando
offended,ofendido
dost,dost
memories,recordações
wheat,trigo
Japanese,japonês
humor,humor
exhibited,exibido
encounter,encontro
footsteps,passos
marquis,marquês
smiles,sorrisos
amiable,amável
twilight,crepúsculo
arrows,Setas; flechas
consisting,consistindo
park,Parque
retire,se aposentar
economy,economia
sufferings,sofrimentos
secrets,segredos
na,n / D
halted,parado
govern,governo
favourable,favorável
colors,cores
translated,traduzido
stretch,alongamento
formation,formação
immortal,imortal
gallery,galeria
parallel,paralelo
lean,magro
tempted,tentado
frontier,fronteira
continent,continente
knock,bater
impatience,impaciência
unity,unidade
dealing,tratativa
prohibition,proibição
decent,decente
fiery,fogosa
images,imagens
tie,amarrar
punished,punido
submitted,submetido
Julia,Júlia
Albert,Alberto
rejoined,voltou
speedily,rapidamente
consented,consentido
major,maior
preliminary,preliminares
cell,célula
void,vazio
placing,colocação
prudence,prudência
egg,ovo
amazement,espanto
border,fronteira
artificial,artificial
hereafter,daqui em diante
fanny,bunda
crimes,crimes
breathe,respirar
exempt,isentar
anchor,âncora
Chicago,Chicago
sits,senta
purchased,comprado
eminent,eminente
neighbors,vizinhos
glowing,brilhante
sunlight,luz solar
examples,exemplos
exercised,exercido
wealthy,próspero
seeming,aparente
Bonaparte,Bonaparte
shouting,gritando
thanked,agradeceu
illustrious,ilustre
curiously,curiosamente
inspiration,inspiração
seeds,sementes
naval,naval
foes,inimigos
everyone,todo o mundo
longed,ansiava
abundant,abundante
doubted,duvidou
painter,pintor
greeted,saudado
erect,ereto
glasses,óculos
meanwhile,Enquanto isso
shooting,tiroteio
Athens,Atenas
wagon,vagão
lend,emprestar
lent,emprestado
crisis,crise
undertake,empreender
particulars,detalhes
eh,Eh
veins,veias
polite,educado
Anna,Ana
experiences,experiências
seal,foca
header,cabeçalho
clergy,clero
mount,montar
array,variedade
corners,cantos
magazine,revista
loudly,ruidosamente
bitterness,amargura
Texas,Texas
guardian,guardião
searching,procurando
rejected,rejeitado
harsh,severo
includes,inclui
boldly,ousadamente
Maurice,Maurício
Kate,Kate
lunch,almoço
pine,pinho
shells,cartuchos
seconds,segundos
despite,Apesar de
hoping,na esperança
injustice,injustiça
expressions,expressões
flies,moscas
push,Empurre
tight,justa
problems,problemas
landscape,paisagem
sue,processar
protested,protestou
scarlet,escarlate
abandon,abandono
artistic,artístico
mainly,principalmente
measured,medido
loyal,Leal
boiling,ebulição
desirous,desejoso
suited,adequado
alliance,aliança
advise,Conselho
waist,cintura
sinking,afundando
apprehension,apreensão
stable,estábulo
gregory,gregory
maximum,máximo
commit,comprometer-se
hideous,medonho
hamilton,hamilton
sweetness,Doçura
dismissed,demitido
tore,rasgou
affect,afetar
shaken,abalado
evils,males
unworthy,indigno
significance,significado
modified,modificado
miracle,milagre
lieu,lugar
peasant,camponês
considerably,consideravelmente
observing,observando
conveyed,transmitido
resemblance,semelhança
extend,ampliar
riches,riquezas
personally,pessoalmente
morality,moralidade
rebellion,rebelião
thread,fio
dumb,idiota
inclination,inclinação
forbidden,proibido
copper,cobre
differences,diferenças
sailor,marinheiro
requested,Requeridos
Alfred,Alfredo
response,resposta
promoting,promovendo
imperial,imperial
blank,em branco
purity,pureza
victor,vencedor
bending,dobrar
solemnly,solenemente
twenty-four,vinte e quatro
minor,menor
del,del
crimson,carmesim
republic,república
teachers,professores
ma'am,senhora
danced,dançou
bargain,pechincha
dealt,tratado
fatigue,fadiga
telephone,Telefone
cents,centavos
whip,chicote
Adams,Adams
dislike,não gostar
witnessed,testemunhado
infantry,infantaria
acres,acres
checked,verificado
countrymen,conterrâneos
enemy's,do inimigo
companies,empresas
normal,normal
shirt,camisa
addresses,endereços
introduce,introduzir
sofa,sofá
mothers,mães
sweep,varrer
conversion,conversão
sketch,esboço
African,africano
deserved,merecida
answering,respondendo
virtuous,virtuoso
Persian,persa
anyway,de qualquer forma
thief,ladrao
driver,motorista
retain,reter
constructed,construído
Daniel,Daniel
UT,UT
Philadelphia,Filadélfia
conspicuous,conspícuo
channel,canal
nobility,nobreza
Edith,Edith
Berlin,Berlim
editing,edição
Cambridge,Cambridge
declaration,declaração
guards,guardas
personality,personalidade
smallest,menor
excess,excesso
separation,separação
disgust,desgosto
ha,ha
accomplish,concluir
speeches,discursos
Herbert,Herbert
convent,convento
rightly,com razão
suspended,suspenso
reform,reforma
mob,turba
thirst,sede
unnecessary,desnecessário
treasures,tesouros
asks,pergunta
viewed,visto
designs,desenhos
gleam,brilho
threatening,ameaçador
palm,Palma
Missouri,Missouri
filling,o preenchimento
quoth,citação
fur,pele
fortnight,quinzena
holes,buracos
addressing,endereçamento
frightful,assustador
encourage,encorajar
speaker,alto falante
tribute,tributo
procure,adquirir
frankly,francamente
recommended,recomendado
relieve,aliviar
intentions,intenções
unjust,injusto
legislation,legislação
project,projeto
threshold,limiar
merits,méritos
morrow,amanhã
traces,vestígios
induce,induzir
spear,lança
inward,para dentro
pupils,alunos
corresponding,correspondente
fairy,fada
conclude,concluir
clung,agarrado
neat,arrumado
lucky,por sorte
lap,colo
session,sessão
torture,tortura
damp,úmido
ridge,cume
spoil,estragar
liable,responsável
swords,espadas
hearty,caloroso
BC,BC
Abraham,Abraão
thoughtful,considerado
traveller,viajante
chains,correntes
favorable,favorável
tin,lata
imp.,criança levada.
strongest,mais forte
Horace,Horácio
dependent,dependente
couch,sofá
bills,notas
warrant,mandado
complaint,reclamação
endeavour,empreendimento
sails,velas
dined,jantou
convention,convenção
guarded,guardado
angle,ângulo
widely,largamente
Illinois,Illinois
Charlotte,Charlotte
endeavoured,esforçou-se
ardent,ardente
cow,vaca
mill,moinho
victims,vítimas
prejudice,prejuízo
foremost,acima de tudo
map,mapa
probability,probabilidade
porch,alpendre
lieutenant,tenente
surprising,surpreendente
fountain,fonte
sustained,sustentado
appropriate,apropriado
Ford,Ford
Clara,Clara
assisted,assistido
Lewis,Luís
rejoice,alegrar
extending,estendendo
marvellous,maravilhoso
clothed,vestido
Jew,judeu
collar,colarinho
bands,bandas
confident,confiante
hasty,apressado
nigh,perto
organ,órgão
prose,prosa
privileges,privilégios
